Emission Date,Refining of mineral oil,Metal ore roasting or sintering,Production or processing of ferrous metals,Production of Pig iron or steel,Production or processing of non-ferrous metals,Primary aluminum production,Secondary aluminum production,Production of cement clinker,Production of lime or calcination of dolomite/magnesite,Manufacture of glass,Ceramic production,Mineral wool manufacturing,Production or processing of gypsum or plasterboard,Production of pulp,Paper or cardboard,Production of Carbon black,Production of coke oven,Production of Nitric acid,Production of Adipic acid,Production of Bulk chemicals,Production of Soda ash and sodium bicarbonate,Production of Hydrogen and synthesis gas
2019-01-01,221455,5121,19052,217282,12349,9545,2242,206138,51490,32261,27201,3475,1887,8811,36013,3169,11441,7366,202,56109,7945,14609
2019-01-02,270142,6120,22736,263995,14954,11545,2758,248814,61983,39460,33800,4284,2305,10634,43434,3782,13985,8826,242,67321,9513,17495
2019-01-03,295352,6891,25653,290296,16522,12777,2979,276196,69070,42975,35980,4612,2516,11806,48268,4267,15244,9900,272,75372,10682,19641
2019-01-04,283549,6342,23537,276410,15625,12054,2910,259445,64521,41488,35879,4527,2420,11088,45267,3915,14699,9161,251,69933,9869,18152
2019-01-05,254990,5722,21242,248728,14068,10855,2613,233710,58146,37293,32172,4064,2176,9988,40782,3533,13214,8262,227,63057,8902,16372
2019-01-06,250828,5892,21942,246862,14065,10882,2523,235380,58915,36464,30364,3902,2136,10062,41146,3650,12937,8457,233,64358,9127,16781
2019-01-07,295846,6724,24984,289291,16395,12660,3016,272931,68019,43197,36912,4684,2523,11665,47650,4155,15311,9693,266,73915,10448,19214
2019-01-08,300713,6582,24390,291945,16447,12673,3112,272158,67490,44119,38751,4852,2570,11631,47446,4056,15622,9536,261,72895,10264,18882
2019-01-09,312382,7032,26111,304895,17253,13315,3197,286774,71378,45668,39306,4970,2666,12256,50048,4343,16183,10150,278,77446,10937,20114
2019-01-10,350681,8447,31512,346886,19846,15376,3489,333456,83738,50804,41429,5380,2983,14256,58346,5242,18039,12086,333,91837,13056,24001
2019-01-11,327599,7599,28274,321616,18287,14137,3312,305413,76318,47705,40128,5132,2792,13055,53362,4703,16919,10925,300,83203,11785,21670
2019-01-12,274858,6211,23069,268469,15201,11734,2809,252822,62959,40162,34468,4365,2345,10806,44129,3837,14233,8960,246,68354,9656,17759
2019-01-13,259255,5937,22072,253883,14406,11129,2635,240106,59898,37817,32129,4089,2211,10263,41931,3671,13407,8550,235,65168,9219,16953
2019-01-14,318307,7319,27217,311958,17713,13687,3230,295413,73734,46406,39303,5009,2714,12627,51598,4527,16454,10534,289,80274,11360,20890
2019-01-15,320851,7316,27192,313943,17802,13749,3267,296504,73926,46828,39914,5071,2736,12673,51772,4523,16600,10542,289,80377,11365,20901
2019-01-16,321811,7396,27504,315367,17905,13835,3266,298601,74526,46919,39750,5066,2743,12763,52154,4575,16636,10647,292,81131,11481,21112
2019-01-17,317658,7253,26960,310901,17633,13620,3233,293756,73254,46354,39469,5017,2709,12556,51295,4484,16432,10450,287,79663,11266,20718
2019-01-18,350605,8481,31648,347109,19873,15400,3482,334132,83954,50763,41245,5366,2981,14285,58474,5264,18027,12128,334,92134,13103,24088
2019-01-19,293656,6867,25565,288754,16440,12715,2959,274923,68771,42716,35701,4580,2501,11752,48050,4252,15153,9862,271,75072,10642,19567
2019-01-20,283118,6798,25354,279871,16003,12397,2821,268756,67462,41034,33554,4352,2408,11489,47019,4217,14568,9730,268,73949,10509,19321
2019-01-21,369141,9180,34317,367548,21140,16408,3621,357014,90026,53237,42205,5560,3134,15265,62544,5709,18922,13083,361,99222,14148,26005
2019-01-22,368531,9004,33623,365604,20966,16257,3644,353083,88831,53283,42917,5608,3132,15095,61814,5593,18928,12861,355,97638,13899,25550
2019-01-23,382308,9503,35525,380625,21890,16991,3750,369666,93211,55139,43730,5759,3246,15805,64760,5910,19598,13545,374,102726,14647,26922
2019-01-24,391183,9821,36736,390269,22482,17460,3820,380268,96007,56338,44273,5858,3320,16259,66642,6111,20030,13980,386,105969,15124,27796
2019-01-25,350517,8428,31436,346594,19823,15357,3490,332977,83597,50793,41486,5383,2981,14235,58258,5229,18034,12061,332,91656,13028,23950
2019-01-26,274051,6224,23128,267946,15184,11724,2795,252742,62982,40018,34212,4340,2338,10802,44124,3847,14184,8974,246,68434,9673,17789
2019-01-27,267205,6192,23038,262274,14910,11526,2703,248982,62208,38916,32760,4188,2277,10643,43501,3832,13802,8903,245,67810,9604,17659
2019-01-28,373029,9400,35168,372445,21469,16677,3636,363338,91776,53694,42051,5574,3165,15536,63684,5850,19093,13375,370,101356,14471,26595
2019-01-29,415047,10954,41100,418526,24315,18939,3956,414587,105346,59327,44372,6023,3513,17730,72794,6838,21128,15501,430,117158,16798,30863
2019-01-30,409642,10668,39996,411882,23874,18581,3931,406207,103041,58675,44492,5996,3469,17371,71287,6654,20886,15120,419,114366,16378,30093
2019-01-31,403458,10433,39097,405048,23450,18243,3885,398533,101003,57851,44181,5932,3418,17042,69921,6504,20588,14799,410,111984,16026,29449
2019-02-01,414280,10397,38855,417779,23982,18578,4116,411385,103674,60671,48239,6421,3611,17438,71440,6480,21177,14864,410,112760,16072,29541
2019-02-02,344453,8434,31470,345612,19759,15285,3460,337603,84809,50622,41132,5415,3006,14309,58572,5248,17656,12095,333,91890,13067,24021
2019-02-03,329666,8167,30495,331564,18992,14702,3295,325111,81795,48369,38905,5148,2875,13781,56430,5086,16876,11695,323,88785,12639,23233
2019-02-04,373184,8774,32646,371405,21093,16278,3815,358058,89471,55149,46337,6000,3263,15174,62024,5444,19211,12647,348,96323,13643,25086
2019-02-05,421280,10684,39955,425769,24484,18978,4165,420698,106166,61603,48510,6488,3670,17834,73086,6664,21510,15255,421,115656,16501,30327
2019-02-06,394817,9664,36056,396113,22644,17517,3967,386881,97183,58026,47165,6208,3446,16398,67120,6013,20238,13859,382,105290,14972,27523
2019-02-07,380000,9152,34112,380010,21666,16745,3845,369222,92552,55973,46118,6030,3319,15649,64017,5689,19513,13152,362,100022,14200,26107
2019-02-08,356280,8305,30886,353992,20076,15487,3655,340343,84949,52710,44583,5754,3117,14423,58937,5151,18357,11986,329,91332,12925,23768
2019-02-09,316005,7474,27822,314871,17899,13819,3222,304143,76058,46662,39020,5064,2763,12889,52697,4640,16258,10765,296,81961,11615,21358
2019-02-10,305679,7385,27530,305875,17448,13487,3089,297486,74600,45007,36989,4842,2669,12608,51586,4591,15691,10608,292,80659,11455,21059
2019-02-11,373407,8998,33539,373455,21294,16458,3777,362913,90977,54998,45296,5923,3261,15381,62925,5593,19173,12930,356,98327,13960,25666
2019-02-12,395729,9775,36495,397774,22774,17626,3960,389668,98000,58085,46838,6190,3452,16517,67628,6087,20265,14003,386,106328,15132,27817
2019-02-13,382912,9316,34744,383697,21913,16945,3858,374020,93878,56324,46018,6042,3343,15852,64874,5794,19641,13370,368,101614,14440,26547
2019-02-14,371456,8956,33382,371544,21187,16375,3757,361119,90534,54707,45036,5891,3244,15305,62615,5567,19072,12868,354,97856,13894,25545
2019-02-15,351752,8350,31091,350745,19951,15406,3581,339196,84865,51915,43284,5626,3075,14375,58779,5185,18090,12022,331,91504,12973,23853
2019-02-16,303413,7325,27304,303560,17314,13383,3067,295162,74010,44678,36742,4808,2650,12510,51181,4554,15576,10523,290,80012,11362,20889
2019-02-17,286808,7085,26451,288292,16506,12775,2870,282423,71029,42098,33944,4486,2502,11971,49015,4412,14687,10149,280,77065,10968,20161
2019-02-18,342375,8217,30619,342142,19496,15064,3469,332051,83197,50455,41693,5443,2991,14073,57565,5106,17587,11814,325,89861,12753,23448
2019-02-19,347261,8242,30688,346253,19694,15208,3536,334831,83771,51253,42739,5555,3035,14190,58022,5118,17859,11866,326,90322,12805,23544
2019-02-20,353243,8455,31499,352809,20095,15524,3584,342100,85684,52077,43130,5624,3086,14499,59301,5253,18151,12160,335,92507,13125,24132
2019-02-21,348849,8267,30777,347729,19773,15267,3554,336089,84068,51498,42998,5585,3049,14243,58236,5133,17944,11904,327,90620,12845,23618
2019-02-22,347128,8213,30574,345907,19665,15182,3539,334160,83569,51255,42848,5562,3035,14161,57899,5099,17858,11829,325,90059,12764,23469
2019-02-23,305631,7394,27567,305912,17454,13493,3086,297656,74657,44991,36933,4838,2669,12616,51618,4597,15686,10620,292,80738,11467,21083
2019-02-24,291463,7191,26845,292897,16766,12975,2918,286816,72122,42788,34539,4562,2543,12157,49775,4477,14927,10303,284,78236,11133,20465
2019-02-25,336116,7967,29663,335057,19054,14712,3424,323872,81015,49617,41417,5380,2938,13726,56120,4947,17288,11473,315,87334,12380,22762
2019-02-26,341892,8171,30438,341371,19439,15016,3471,330850,82850,50413,41803,5448,2987,14022,57347,5076,17570,11754,323,89427,12687,23326
2019-02-27,333797,7934,29544,332925,18941,14627,3396,322094,80599,49256,41026,5335,2917,13650,55818,4927,17164,11421,314,86923,12325,22661
2019-02-28,326805,7627,28364,324775,18422,14212,3351,312363,77977,48343,40854,5275,2859,13237,54094,4730,16837,11004,302,83850,11867,21823
2019-03-01,337253,8224,30676,338145,19338,15150,3443,333998,83856,49572,40445,5298,2935,14033,57433,5133,17188,11838,326,89961,12787,23507
2019-03-02,296031,7315,27309,297617,17058,13374,3004,295237,74253,43432,35032,4616,2574,12405,50793,4570,15065,10512,290,79823,11360,20883
2019-03-03,289357,7020,26177,289825,16561,12971,2960,285800,71708,42562,34875,4559,2518,12008,49135,4380,14755,10112,279,76867,10921,20077
2019-03-04,340723,8201,30563,340728,19444,15222,3498,335130,83997,50173,41386,5392,2967,14080,57599,5114,17389,11825,326,89929,12766,23471
2019-03-05,345299,8296,30914,345178,19692,15415,3548,339308,85024,50859,42015,5470,3007,14255,58313,5172,17626,11964,329,91002,12916,23748
2019-03-06,331408,7819,29102,330103,18777,14683,3431,322600,80646,48933,41020,5302,2889,13552,55403,4869,16949,11303,311,86070,12195,22423
2019-03-07,326283,7571,28147,323938,18377,14356,3401,314888,78547,48283,41005,5266,2846,13228,54044,4709,16716,10969,301,83608,11826,21748
2019-03-08,328600,7828,29153,327929,18682,14617,3388,321467,80464,48456,40309,5230,2863,13505,55229,4878,16789,11302,311,86006,12197,22426
2019-03-09,292544,7013,26129,292313,16670,13047,3008,287137,71931,43102,35671,4640,2548,12063,49343,4372,14936,10117,278,76961,10921,20079
2019-03-10,289895,7226,26993,291972,16758,13146,2930,290464,73135,42480,34000,4497,2520,12205,49989,4517,14739,10374,286,78728,11214,20612
2019-03-11,341384,8276,30860,341887,19534,15298,3494,337059,84561,50220,41175,5381,2971,14161,57946,5163,17409,11923,328,90635,12876,23671
2019-03-12,342773,8217,30617,342504,19533,15288,3525,336443,84282,50502,41795,5436,2985,14135,57815,5123,17501,11854,326,90177,12797,23528
2019-03-13,351074,8342,31062,350178,19942,15600,3624,342995,85824,51788,43170,5595,3059,14410,58921,5197,17942,12048,331,91698,13001,23905
2019-03-14,343241,8193,30519,342681,19529,15281,3536,336153,84163,50600,42022,5456,2990,14122,57756,5106,17533,11827,325,89989,12765,23469
2019-03-15,327030,7694,28632,325561,18510,14472,3390,317875,79436,48304,40584,5240,2851,13354,54586,4790,16730,11127,306,84741,12003,22071
2019-03-16,288946,6905,25720,288534,16446,12870,2975,283134,70898,42590,35340,4591,2517,11895,48649,4303,14758,9965,274,75819,10756,19776
2019-03-17,283361,6848,25528,283596,16195,12681,2904,279303,70042,41703,34283,4474,2467,11735,48011,4271,14455,9869,272,75036,10656,19591
2019-03-18,325652,7670,28542,324254,18439,14417,3374,316702,79153,48094,40375,5215,2839,13305,54386,4775,16658,11090,305,84453,11963,21998
2019-03-19,350969,8685,32426,352951,20234,15865,3560,350289,88114,51483,41475,5468,3052,14718,60268,5426,17858,12479,344,94745,13486,24790
2019-03-20,336894,8125,30285,337036,19240,15064,3455,331716,83164,49595,40840,5325,2933,13937,57016,5067,17190,11712,322,89065,12646,23250
2019-03-21,326577,7815,29114,326204,18598,14555,3361,320245,80206,48128,39888,5185,2844,13454,55028,4871,16677,11277,310,85792,12172,22380
2019-03-22,316776,7561,28162,316249,18023,14102,3264,310210,77666,46700,38788,5036,2759,13033,53299,4712,16181,10913,300,83041,11779,21657
2019-03-23,272879,6621,24690,273328,15619,12233,2792,269543,67630,40138,32885,4299,2375,11325,46341,4131,13914,9537,263,72498,10300,18936
2019-03-24,260808,6513,24332,262775,15087,11836,2634,261572,65876,38207,30531,4042,2267,10991,45020,4071,13257,9348,258,70934,10105,18575
2019-03-25,309992,7401,27567,309494,17638,13802,3193,303611,76017,45698,37947,4928,2700,12755,52165,4612,15834,10682,294,81281,11529,21198
2019-03-26,326151,7859,29292,326232,18621,14578,3347,320992,80466,48019,39571,5158,2840,13486,55171,4901,16643,11330,312,86164,12233,22491
2019-03-27,329674,8071,30116,330818,18932,14835,3359,327189,82190,48431,39378,5167,2868,13747,56271,5039,16794,11613,320,88229,12546,23063
2019-03-28,326986,7987,29797,327968,18762,14700,3335,324130,81397,48052,39146,5132,2845,13619,55739,4986,16661,11495,317,87347,12418,22828
2019-03-29,312104,7584,28285,312713,17874,14000,3191,308535,77429,45898,37556,4913,2716,12963,53047,4733,15912,10923,301,83021,11797,21687
2019-03-30,260934,6352,23690,261531,14952,11713,2666,258177,64805,38364,31347,4103,2271,10847,44392,3964,13301,9145,252,69504,9878,18159
2019-03-31,264083,6725,25156,267161,15389,12087,2643,267650,67578,38578,30279,4045,2293,11247,46100,4209,13394,9629,266,72985,10417,19145
2019-04-01,331857,7910,29468,330258,18698,14835,3427,326569,81786,48873,43296,5283,2898,13569,55499,5019,16900,11620,320,88407,12543,23061
2019-04-02,337888,7941,29555,335320,18941,15015,3510,330071,82511,49856,44672,5421,2953,13714,56064,5034,17232,11687,321,88991,12608,23184
2019-04-03,369412,9038,33728,369572,21014,16697,3771,368547,92614,54208,46981,5796,3222,15315,62695,5745,18759,13233,365,100521,14298,26283
2019-04-04,379403,9382,35036,380396,21668,17227,3855,380662,95791,55590,47732,5916,3307,15819,64782,5968,19244,13719,378,104142,14828,27256
2019-04-05,365970,9037,33747,366826,20890,16607,3721,366919,92316,53633,46106,5711,3190,15248,62440,5749,18566,13217,365,100343,14285,26258
2019-04-06,297212,7112,26503,296014,16770,13308,3064,293082,73438,43747,38629,4721,2595,12178,49815,4514,15129,10443,287,79432,11274,20728
2019-04-07,282651,6908,25776,282711,16072,12769,2887,281826,70811,41483,35986,4438,2465,11711,47941,4391,14355,10116,279,76844,10929,20090
2019-04-08,327845,7656,28483,324949,18337,14531,3414,319214,79731,48415,43597,5277,2866,13263,54206,4851,16731,11277,310,85907,12164,22367
2019-04-09,342812,8111,30199,340655,19264,15277,3551,336042,84077,50537,45042,5480,2995,13963,57093,5144,17471,11926,328,90776,12870,23663
2019-04-10,347491,8245,30706,345504,19547,15504,3595,341142,85385,51207,45532,5546,3035,14175,57965,5230,17704,12119,333,92231,13079,24049
2019-04-11,353026,8442,31455,351551,19914,15802,3640,347983,87186,51968,45917,5610,3083,14459,59145,5358,17972,12396,341,94291,13382,24603
2019-04-12,353685,8516,31747,352695,20002,15878,3636,349898,87745,52015,45697,5599,3087,14539,59486,5408,17992,12494,344,94998,13491,24803
2019-04-13,307687,7479,27897,307411,17461,13868,3150,305908,76808,45192,39387,4846,2684,12712,52026,4752,15636,10959,302,83280,11838,21762
2019-04-14,295028,7304,27279,295873,16856,13403,2996,296196,74547,43220,37071,4597,2571,12309,50410,4647,14963,10679,295,81061,11543,21217
2019-04-15,335475,7892,29374,332990,18813,14914,3483,327880,81974,49493,44312,5379,2932,13623,55694,5003,17107,11613,319,88426,12529,23038
2019-04-16,335232,7905,29427,332905,18815,14918,3477,328046,82040,49442,44183,5368,2929,13630,55727,5012,17091,11629,320,88531,12547,23071
2019-04-17,342531,8237,30704,341486,19362,15369,3523,338638,84907,50384,44310,5427,2990,14071,57569,5230,17427,12087,333,91908,13051,23994
2019-04-18,313269,7378,27464,311020,17575,13934,3251,306362,76606,46210,41334,5020,2737,12729,52041,4678,15973,10856,298,82651,11712,21536
2019-04-19,275683,6474,24095,273548,15450,12247,2864,269202,67288,40681,36472,4424,2409,11185,45724,4104,14061,9529,262,72565,10280,18903
2019-04-20,261296,6302,23494,260649,14786,11738,2684,258718,64893,38419,33706,4133,2281,10751,43988,4002,13290,9244,255,70276,9982,18351
2019-04-21,244294,5980,22317,244425,13899,11044,2493,243787,61266,35845,31053,3832,2131,10131,41473,3801,12405,8755,241,66502,9459,17389
2019-04-22,259253,6220,23180,258338,14642,11621,2669,255986,64164,38147,33614,4113,2263,10637,43514,3948,13193,9129,251,69428,9856,18121
2019-04-23,309120,7224,26874,306427,17293,13704,3218,301079,75207,45646,41083,4974,2702,12509,51128,4577,15774,10639,292,81041,11475,21101
2019-04-24,315711,7409,27572,313222,17689,14021,3281,308176,77023,46592,41795,5069,2759,12804,52342,4696,16104,10906,300,83054,11765,21634
2019-04-25,319726,7712,28751,318942,18093,14364,3285,316589,79409,47010,41240,5057,2791,13155,53827,4897,16261,11312,312,85997,12215,22457
2019-04-26,323631,7882,29404,323469,18379,14599,3311,322092,80892,47520,41348,5091,2823,13385,54783,5009,16443,11547,318,87735,12473,22931
2019-04-27,291462,7113,26539,291437,16564,13159,2979,290390,72949,42785,37162,4580,2542,12067,49395,4521,14805,10418,287,79146,11255,20690
2019-04-28,287121,7269,27185,289279,16542,13170,2886,291714,73632,41927,35241,4416,2500,12124,49689,4631,14525,10598,293,80341,11464,21070
2019-04-29,331314,8054,30045,331029,18803,14934,3392,329429,82715,48661,42404,5217,2890,13689,56027,5118,16836,11803,325,89688,12749,23437
2019-04-30,325966,7861,29308,325157,18445,14643,3349,322741,80951,47929,42051,5156,2845,13411,54873,4992,16579,11531,318,87665,12452,22892
2019-05-01,273499,6794,25373,275190,15468,12320,2754,271483,68328,39819,34153,4215,2358,11412,46737,4261,13932,9792,270,74331,10584,19456
2019-05-02,324141,7916,29529,325011,18217,14495,3289,318857,80073,47305,41181,5045,2797,13403,54857,4959,16543,11434,315,86878,12351,22705
2019-05-03,330025,8138,30378,331565,18614,14819,3334,326315,82050,48098,41522,5108,2846,13717,56161,5102,16825,11740,324,89157,12687,23321
2019-05-04,295022,7330,27375,296858,16686,13290,2970,292875,73714,42951,36834,4547,2543,12312,50420,4597,15028,10565,291,80192,11419,20990
2019-05-05,284831,7125,26624,287011,16151,12869,2859,283799,71493,41427,35308,4372,2455,11930,48870,4471,14498,10262,283,77859,11094,20392
2019-05-06,325117,7740,28825,324327,18103,14383,3335,315575,78986,47614,42336,5132,2809,13264,54239,4840,16638,11216,309,85357,12105,22256
2019-05-07,340716,8255,30782,341090,19093,15185,3469,333783,83736,49778,43622,5326,2941,14030,57407,5169,17403,11936,329,90741,12890,23698
2019-05-08,338277,8150,30378,338266,18918,15041,3452,330416,82831,49460,43547,5305,2921,13888,56816,5101,17289,11793,325,89681,12733,23409
2019-05-09,335216,8004,29816,334602,18685,14848,3434,325888,81600,49073,43527,5283,2896,13697,56018,5007,17149,11595,319,88223,12515,23010
2019-05-10,331053,7927,29533,330630,18472,14681,3387,322309,80733,48445,42873,5209,2859,13547,55409,4959,16931,11479,316,87324,12391,22781
2019-05-11,285347,6905,25746,285590,15983,12711,2906,279361,70072,41696,36577,4464,2463,11742,48045,4323,14577,9986,275,75919,10784,19825
2019-05-12,281290,6890,25711,282223,15827,12595,2850,277158,69630,41034,35626,4370,2427,11650,47688,4318,14351,9949,274,75583,10748,19759
2019-05-13,321306,7461,27740,318959,17732,14068,3330,307881,76809,47212,42812,5140,2779,12939,52867,4658,16485,10847,298,82677,11696,21508
2019-05-14,329901,7750,28836,328234,18281,14514,3403,318010,79457,48401,43496,5245,2852,13365,54630,4842,16906,11250,309,85685,12135,22314
2019-05-15,324801,7601,28275,322917,17974,14267,3356,312476,78035,47677,42974,5175,2809,13132,53672,4748,16651,11039,303,84100,11906,21894
2019-05-16,320484,7567,28166,319186,17792,14129,3299,309753,77446,46987,42055,5082,2770,13018,53222,4730,16415,10978,302,83584,11844,21778
2019-05-17,313120,7392,27515,311845,17382,13804,3223,302616,75660,45908,41094,4965,2706,12718,51995,4620,16038,10724,295,81655,11570,21275
2019-05-18,277659,6698,24969,277721,15535,12352,2832,271388,68044,40590,35700,4351,2397,11407,46668,4193,14189,9690,267,73686,10463,19237
2019-05-19,267151,6617,24708,268644,15093,12019,2693,264776,66615,38911,33459,4124,2303,11130,45577,4149,13613,9541,263,72435,10312,18955
2019-05-20,324997,7877,29373,325378,18215,14487,3308,318444,79892,47479,41595,5080,2805,13385,54770,4933,16600,11389,314,86580,12300,22612
2019-05-21,342347,8444,31520,343961,19310,15374,3458,338539,85126,49893,43063,5298,2952,14231,58265,5293,17453,12181,336,92503,13163,24197
2019-05-22,326273,7814,29113,325868,18207,14470,3338,317687,79577,47744,42246,5134,2818,13353,54615,4889,16686,11315,311,86076,12214,22456
2019-05-23,323293,7784,29010,323235,18075,14370,3300,315661,79124,47274,41647,5072,2792,13268,54277,4872,16525,11263,310,85658,12161,22358
2019-05-24,315228,7533,28063,314703,17577,13968,3228,306590,76776,46142,40900,4966,2723,12886,52703,4713,16125,10911,300,83018,11777,21654
2019-05-25,280885,6947,25937,282369,15860,12629,2834,278169,69971,40919,35232,4340,2422,11693,47880,4356,14315,10019,276,76067,10827,19903
2019-05-26,262762,6396,23856,263296,14750,11734,2670,258040,64773,38365,33489,4097,2268,10846,44388,4006,13415,9243,255,70242,9983,18352
2019-05-27,321842,7858,29314,322694,18086,14391,3266,316565,79496,46971,40896,5010,2777,13306,54462,4923,16426,11351,313,86249,12261,22540
2019-05-28,329131,8025,29935,329912,18487,14708,3341,323505,81224,48044,41878,5127,2840,13598,55653,5027,16800,11594,319,88106,12524,23023
2019-05-29,324450,7822,29156,324480,18149,14430,3310,317015,79478,47434,41742,5086,2801,13325,54513,4896,16581,11317,312,86059,12219,22465
2019-05-30,279428,6477,24076,277287,15410,12225,2898,267496,66718,41069,37294,4474,2417,11242,45929,4043,14339,9418,259,71794,10154,18674
2019-05-31,292878,6946,25860,291943,16285,12936,3009,283714,70976,42915,38276,4633,2531,11924,48756,4343,14994,10070,277,76654,10866,19980
2019-06-01,274034,6593,24564,275212,15346,12393,2862,264786,66316,40106,35519,4311,2365,11265,46074,4106,14114,9505,262,72311,10260,18863
2019-06-02,261753,6286,23416,262781,14649,11828,2736,252674,63268,38318,33988,4122,2259,10750,43963,3914,13484,9064,249,68967,9783,17988
2019-06-03,327900,7890,29396,329317,18364,14830,3424,316854,79358,47989,42496,5157,2830,13480,55134,4914,16888,11374,313,86534,12278,22573
2019-06-04,331337,7829,29132,331571,18435,14871,3486,317158,79245,48611,43681,5263,2862,13492,55149,4869,17098,11313,311,86162,12203,22439
2019-06-05,327282,7740,28800,327564,18214,14694,3443,313404,78316,48011,43115,5196,2827,13332,54498,4814,16887,11182,307,85162,12062,22180
2019-06-06,345352,8504,31729,348455,19504,15771,3570,337774,84852,50383,43765,5363,2977,14371,58826,5304,17743,12223,337,92858,13204,24274
2019-06-07,328740,7759,28868,328896,18283,14748,3461,314480,78564,48237,43385,5225,2840,13378,54681,4825,16966,11213,308,85406,12094,22240
2019-06-08,288483,6816,25359,288676,16050,12947,3036,276111,68988,42325,38038,4583,2492,11746,48011,4239,14886,9848,271,75007,10623,19534
2019-06-09,268305,6685,24963,271371,15219,12315,2759,264067,66438,39078,33597,4138,2311,11236,46010,4173,13767,9595,265,72840,10370,19061
2019-06-10,293475,7130,26579,295307,16493,13326,3052,285008,71471,42895,37687,4592,2531,12126,49611,4443,15100,10265,283,78050,11084,20378
2019-06-11,344936,8499,31714,348085,19486,15757,3565,337492,84789,50317,43681,5354,2973,14360,58779,5301,17720,12215,337,92799,13197,24260
2019-06-12,352485,8595,32051,354953,19836,16031,3660,342990,86053,51493,45100,5504,3040,14593,59712,5357,18128,12370,341,94030,13358,24559
2019-06-13,351840,8626,32176,354690,19839,16038,3644,343335,86200,51360,44779,5477,3033,14608,59785,5378,18085,12405,342,94270,13399,24633
2019-06-14,342827,8409,31370,345640,19335,15631,3550,334632,84021,50041,43609,5335,2956,14238,58271,5244,17620,12093,333,91894,13062,24014
2019-06-15,290608,7049,26276,292332,16323,13187,3024,281996,70702,42485,37375,4551,2507,11998,49084,4392,14955,10151,279,77191,10961,20151
2019-06-16,278849,7057,26379,282946,15910,12885,2848,276739,69767,40523,34355,4262,2400,11776,48247,4410,14283,10109,279,76675,10932,20092
2019-06-17,345012,8524,31810,348348,19509,15778,3562,338036,84954,50310,43576,5347,2973,14383,58879,5317,17719,12246,338,93018,13231,24323
2019-06-18,349269,8455,31512,351198,19603,15836,3638,338559,84861,51074,45007,5476,3013,14404,58925,5267,17977,12179,335,92621,13149,24174
2019-06-19,351448,8528,31789,353558,19743,15951,3657,341097,85523,51376,45184,5502,3032,14512,59372,5314,18085,12280,338,93379,13260,24378
2019-06-20,333549,8239,30749,336765,18860,15253,3444,326783,82125,48639,42133,5170,2875,13904,56919,5140,17131,11838,326,89918,12790,23512
2019-06-21,331849,8114,30259,334351,18693,15109,3442,323359,81156,48461,42349,5174,2862,13758,56301,5058,17062,11672,322,88715,12607,23176
2019-06-22,279392,6694,24933,280359,15623,12613,2923,269375,67429,40913,36358,4405,2412,11460,46865,4167,14396,9655,266,73476,10421,19160
2019-06-23,262860,6340,23624,264120,14734,11900,2742,254317,63715,38458,33991,4129,2268,10820,44257,3949,13535,9137,251,69502,9863,18134
2019-06-24,334997,8159,30420,337259,18844,15228,3480,325762,81718,48947,42914,5234,2889,13860,56710,5085,17231,11743,323,89275,12681,23314
2019-06-25,362128,8870,33086,364996,20413,16501,3752,353209,88669,52869,46129,5640,3122,15028,61502,5531,18615,12758,351,96956,13780,25333
2019-06-26,359198,8588,31978,360283,20069,16201,3761,345920,86564,52616,46841,5670,3101,14716,60177,5345,18513,12389,341,94294,13370,24583
2019-06-27,360175,8604,32036,361202,20118,16239,3773,346706,86751,52765,47006,5688,3109,14750,60312,5355,18565,12414,341,94485,13396,24631
2019-06-28,365700,9002,33589,368966,20652,16699,3781,357626,89836,53353,46355,5680,3152,15216,62283,5615,18789,12940,357,98308,13979,25698
2019-06-29,298507,7189,26784,299847,16723,13505,3116,288576,72284,43682,38656,4693,2576,12277,50215,4477,15373,10362,285,78830,11185,20565
2019-06-30,280179,6748,25139,281435,15696,12676,2925,270855,67844,41000,36284,4405,2418,11523,47132,4202,14429,9726,268,73988,10498,19302
2019-07-01,315616,7299,27136,312031,17522,13768,3259,297158,74134,47141,40094,5050,2731,12637,51633,4591,15797,10692,294,81496,11529,21201
2019-07-02,326108,7649,28464,323297,18197,14309,3348,309284,77302,48617,40896,5179,2820,13154,53769,4816,16299,11184,307,85170,12065,22186
2019-07-03,316684,7376,27435,313522,17626,13855,3261,299258,74728,47256,39971,5048,2739,12727,52012,4642,15839,10795,297,82242,11642,21409
2019-07-04,298117,6704,24875,293145,16388,12856,3113,276690,68774,44689,38813,4839,2583,11765,48025,4209,14964,9857,270,75264,10617,19528
2019-07-05,314189,7340,27307,311236,17506,13763,3231,297364,74284,46865,39547,5000,2717,12646,51689,4620,15710,10738,295,81793,11582,21298
2019-07-06,254374,5833,21672,251069,14080,11057,2636,238452,59422,38036,32561,4088,2202,10140,41419,3667,12743,8554,235,65234,9220,16957
2019-07-07,248267,5914,22032,246886,13931,10964,2532,237370,59449,36935,30683,3910,2145,10096,41292,3728,12388,8631,237,65661,9316,17128
2019-07-08,318358,7668,28589,317292,17936,14126,3232,306157,76787,47290,38928,4983,2749,13022,53280,4838,15867,11175,308,84959,12067,22184
2019-07-09,324063,7826,29183,323149,18275,14395,3286,312075,78298,48120,39524,5065,2798,13274,54315,4938,16147,11401,314,86666,12312,22636
